N,replicate,model,strict_mean,soft_mean
5000,1,Qwen2.5-7B,0.6154,0.8156875
5000,1,deepseek-v3,0.7738,0.9178956
5000,1,gemma-2-2b,0.5108,0.7450409
5000,1,gemma-2-9b,0.6092,0.8053095
5000,1,llama3.1-405b,0.6964,0.86476165
5000,1,llama3.3-70b,0.7226,0.8905072
5000,1,mistral-large,0.7218,0.8907374
5000,1,qwen2.5-72b,0.6416,0.8108192
5000,2,Llama-3.1-8B,0.5846,0.7981076
5000,2,Llama-3.2-1B,0.316,0.5723255
5000,2,Llama-3.2-3B,0.5148,0.75099355
5000,2,Qwen2.5-0.5B,0.1544,0.38972735
5000,2,Qwen2.5-1.5B,0.3282,0.5807992
5000,2,Qwen2.5-3B,0.493,0.73097694
5000,2,Qwen2.5-7B,0.6174,0.8186763
5000,2,deepseek-v3,0.7676,0.91586757
5000,2,gemma-2-2b,0.518,0.7444806
5000,2,gemma-2-9b,0.6066,0.80190414
5000,2,llama3.1-405b,0.6966,0.863979
5000,2,llama3.3-70b,0.7266,0.89023876
5000,2,mistral-large,0.7186,0.8891883
5000,2,qwen2.5-72b,0.6452,0.81209004
5000,3,Llama-3.1-8B,0.594,0.8062648
5000,3,Llama-3.2-1B,0.3202,0.57794553
5000,3,Llama-3.2-3B,0.5266,0.7582586
5000,3,Qwen2.5-0.5B,0.1578,0.39581978
5000,3,Qwen2.5-1.5B,0.3342,0.5837123
5000,3,Qwen2.5-3B,0.5036,0.7376475
5000,3,Qwen2.5-7B,0.6274,0.8244037
5000,3,deepseek-v3,0.7758,0.91797507
5000,3,gemma-2-2b,0.5214,0.75042564
5000,3,gemma-2-9b,0.6182,0.80868447
5000,3,llama3.1-405b,0.7054,0.8687198
5000,3,llama3.3-70b,0.732,0.89367676
5000,3,mistral-large,0.7288,0.8924885
5000,3,qwen2.5-72b,0.6512,0.8165391
5000,4,Llama-3.1-8B,0.58,0.79720396
5000,4,Llama-3.2-1B,0.3066,0.5662869
5000,4,Llama-3.2-3B,0.513,0.75203294
5000,4,Qwen2.5-0.5B,0.156,0.39150774
5000,4,Qwen2.5-1.5B,0.325,0.57549727
5000,4,Qwen2.5-3B,0.4986,0.734389
5000,4,Qwen2.5-7B,0.6098,0.8141877
5000,4,deepseek-v3,0.7692,0.91575193
5000,4,gemma-2-2b,0.5066,0.74092364
5000,4,gemma-2-9b,0.6054,0.8025012
5000,4,llama3.1-405b,0.6924,0.86164874
5000,4,llama3.3-70b,0.7206,0.88942444
5000,4,mistral-large,0.712,0.8865026
5000,4,qwen2.5-72b,0.644,0.8108691
5000,5,Llama-3.1-8B,0.588,0.8005194
5000,5,Llama-3.2-1B,0.3226,0.57515526
5000,5,Llama-3.2-3B,0.517,0.75041646
5000,5,Qwen2.5-0.5B,0.1648,0.395772
5000,5,Qwen2.5-1.5B,0.3422,0.5873928
5000,5,Qwen2.5-3B,0.5074,0.7372508
5000,5,Qwen2.5-7B,0.6182,0.8186893
5000,5,deepseek-v3,0.7716,0.9166455
5000,5,gemma-2-2b,0.5142,0.7446114
5000,5,gemma-2-9b,0.612,0.80475926
5000,5,llama3.1-405b,0.6962,0.8629049
5000,5,llama3.3-70b,0.731,0.894147
5000,5,mistral-large,0.721,0.8897976
5000,5,qwen2.5-72b,0.6478,0.81510043
5000,6,Llama-3.1-8B,0.5928,0.8034874
5000,6,Llama-3.2-1B,0.3184,0.57588786
5000,6,Llama-3.2-3B,0.5182,0.75300527
5000,6,Qwen2.5-0.5B,0.1622,0.39608437
5000,6,Qwen2.5-1.5B,0.3302,0.5801368
5000,6,Qwen2.5-3B,0.4954,0.7318012
5000,6,Qwen2.5-7B,0.6134,0.81344616
5000,6,deepseek-v3,0.7704,0.916978
5000,6,gemma-2-2b,0.5132,0.744676
5000,6,gemma-2-9b,0.612,0.80384564
5000,6,llama3.1-405b,0.6926,0.862038
5000,6,llama3.3-70b,0.7232,0.8905872
5000,6,mistral-large,0.7172,0.8878287
5000,6,qwen2.5-72b,0.6418,0.8132963
5000,7,Llama-3.1-8B,0.5898,0.80382043
5000,7,Llama-3.2-1B,0.3218,0.5783994
5000,7,Llama-3.2-3B,0.5196,0.7576361
5000,7,Qwen2.5-0.5B,0.1654,0.39762563
5000,7,Qwen2.5-1.5B,0.34,0.5873004
5000,7,Qwen2.5-3B,0.5018,0.7370564
5000,7,Qwen2.5-7B,0.6166,0.81947166
5000,7,deepseek-v3,0.7708,0.91734743
5000,7,gemma-2-2b,0.5172,0.74899036
5000,7,gemma-2-9b,0.6116,0.80666906
5000,7,llama3.1-405b,0.6962,0.8654537
5000,7,llama3.3-70b,0.7276,0.892313
5000,7,mistral-large,0.7242,0.89128506
5000,7,qwen2.5-72b,0.6424,0.8152739
5000,8,Llama-3.1-8B,0.5898,0.80513644
5000,8,Llama-3.2-1B,0.3172,0.57349646
5000,8,Llama-3.2-3B,0.5168,0.75541055
5000,8,Qwen2.5-0.5B,0.1588,0.3970803
5000,8,Qwen2.5-1.5B,0.3378,0.58631635
5000,8,Qwen2.5-3B,0.5056,0.7382448
5000,8,Qwen2.5-7B,0.6154,0.8177297
5000,8,deepseek-v3,0.7706,0.9170101
5000,8,gemma-2-2b,0.5138,0.7492013
5000,8,gemma-2-9b,0.6134,0.80779785
5000,8,llama3.1-405b,0.6922,0.8645677
5000,8,llama3.3-70b,0.729,0.8927196
5000,8,mistral-large,0.7214,0.88970643
5000,8,qwen2.5-72b,0.649,0.81760925
5000,9,Llama-3.1-8B,0.5894,0.8008631
5000,9,Llama-3.2-1B,0.3128,0.5669387
5000,9,Llama-3.2-3B,0.5136,0.7502637
5000,9,Qwen2.5-0.5B,0.161,0.39538386
5000,9,Qwen2.5-1.5B,0.3378,0.58283865
5000,9,Qwen2.5-3B,0.5034,0.7371082
5000,9,Qwen2.5-7B,0.6172,0.8169744
5000,9,deepseek-v3,0.7714,0.91677845
5000,9,gemma-2-2b,0.512,0.7446609
5000,9,gemma-2-9b,0.6042,0.80445176
5000,9,llama3.1-405b,0.6998,0.86734325
5000,9,llama3.3-70b,0.7302,0.8921259
5000,9,mistral-large,0.7218,0.89093816
5000,9,qwen2.5-72b,0.6506,0.818488
5000,10,Llama-3.1-8B,0.5792,0.79751927
5000,10,Llama-3.2-1B,0.3146,0.56917596
5000,10,Llama-3.2-3B,0.511,0.74940264
5000,10,Qwen2.5-0.5B,0.1572,0.3949738
5000,10,Qwen2.5-1.5B,0.326,0.57563126
5000,10,Qwen2.5-3B,0.4934,0.729077
5000,10,Qwen2.5-7B,0.6134,0.8164353
5000,10,deepseek-v3,0.7652,0.91449237
5000,10,gemma-2-2b,0.5058,0.73862004
5000,10,gemma-2-9b,0.5982,0.8015937
5000,10,llama3.1-405b,0.6902,0.86177355
5000,10,llama3.3-70b,0.7176,0.88879424
5000,10,mistral-large,0.7138,0.8865085
5000,10,qwen2.5-72b,0.6416,0.81257474
5000,11,Llama-3.1-8B,0.5814,0.79785
5000,11,Llama-3.2-1B,0.3124,0.56565565
5000,11,Llama-3.2-3B,0.5148,0.75033164
5000,11,Qwen2.5-0.5B,0.1608,0.39850953
5000,11,Qwen2.5-1.5B,0.3334,0.5803975
5000,11,Qwen2.5-3B,0.5048,0.7369522
5000,11,Qwen2.5-7B,0.6174,0.8190342
5000,11,deepseek-v3,0.7684,0.91463494
5000,11,gemma-2-2b,0.5104,0.73957986
5000,11,gemma-2-9b,0.6062,0.80041796
5000,11,llama3.1-405b,0.6954,0.8631421
5000,11,llama3.3-70b,0.7238,0.8886985
5000,11,mistral-large,0.7176,0.88783777
5000,11,qwen2.5-72b,0.6452,0.8149189
5000,12,Llama-3.1-8B,0.5832,0.79858416
5000,12,Llama-3.2-1B,0.3108,0.56474316
5000,12,Llama-3.2-3B,0.5114,0.74698824
5000,12,Qwen2.5-0.5B,0.1606,0.3960055
5000,12,Qwen2.5-1.5B,0.3302,0.58096486
5000,12,Qwen2.5-3B,0.4978,0.7326038
5000,12,Qwen2.5-7B,0.612,0.8138268
5000,12,deepseek-v3,0.7684,0.9142773
5000,12,gemma-2-2b,0.5134,0.7423963
5000,12,gemma-2-9b,0.6072,0.80263007
5000,12,llama3.1-405b,0.6896,0.8614917
5000,12,llama3.3-70b,0.7178,0.8870602
5000,12,mistral-large,0.7158,0.8871769
5000,12,qwen2.5-72b,0.6424,0.8125062
5000,13,Llama-3.1-8B,0.5842,0.798974
5000,13,Llama-3.2-1B,0.3168,0.5749675
5000,13,Llama-3.2-3B,0.5158,0.7543542
5000,13,Qwen2.5-0.5B,0.1626,0.39776954
5000,13,Qwen2.5-1.5B,0.331,0.58296615
5000,13,Qwen2.5-3B,0.5042,0.73655665
5000,13,Qwen2.5-7B,0.613,0.8190139
5000,13,deepseek-v3,0.7686,0.9157088
5000,13,gemma-2-2b,0.5104,0.7466748
5000,13,gemma-2-9b,0.6066,0.80384624
5000,13,llama3.1-405b,0.6882,0.8614919
5000,13,llama3.3-70b,0.7224,0.889186
5000,13,mistral-large,0.7118,0.886839
5000,13,qwen2.5-72b,0.6444,0.81508875
5000,14,Llama-3.1-8B,0.5868,0.79890466
5000,14,Llama-3.2-1B,0.3074,0.565956
5000,14,Llama-3.2-3B,0.5058,0.7474378
5000,14,Qwen2.5-0.5B,0.1542,0.38906115
5000,14,Qwen2.5-1.5B,0.329,0.5779105
5000,14,Qwen2.5-3B,0.4942,0.73265535
5000,14,Qwen2.5-7B,0.617,0.81954944
5000,14,deepseek-v3,0.7648,0.91495574
5000,14,gemma-2-2b,0.5094,0.74257094
5000,14,gemma-2-9b,0.608,0.80251336
5000,14,llama3.1-405b,0.6938,0.86399484
5000,14,llama3.3-70b,0.721,0.8892913
5000,14,mistral-large,0.7186,0.8897087
5000,14,qwen2.5-72b,0.6456,0.8157092
5000,15,Llama-3.1-8B,0.588,0.8006312
5000,15,Llama-3.2-1B,0.3192,0.5745637
5000,15,Llama-3.2-3B,0.5202,0.75474817
5000,15,Qwen2.5-0.5B,0.1626,0.39445835
5000,15,Qwen2.5-1.5B,0.3334,0.5809017
5000,15,Qwen2.5-3B,0.513,0.73970306
5000,15,Qwen2.5-7B,0.625,0.8206916
5000,15,deepseek-v3,0.7724,0.91656184
5000,15,gemma-2-2b,0.5106,0.7421477
5000,15,gemma-2-9b,0.6136,0.804462
5000,15,llama3.1-405b,0.6992,0.8649367
5000,15,llama3.3-70b,0.7316,0.8930371
5000,15,mistral-large,0.7214,0.89036125
5000,15,qwen2.5-72b,0.6484,0.8136313
5000,16,Llama-3.1-8B,0.5846,0.799785
5000,16,Llama-3.2-1B,0.3186,0.5742507
5000,16,Llama-3.2-3B,0.5126,0.74913335
5000,16,Qwen2.5-0.5B,0.1608,0.39352068
5000,16,Qwen2.5-1.5B,0.3242,0.5789097
5000,16,Qwen2.5-3B,0.498,0.7358547
5000,16,Qwen2.5-7B,0.6126,0.8159921
5000,16,deepseek-v3,0.767,0.9148639
5000,16,gemma-2-2b,0.5108,0.74313504
5000,16,gemma-2-9b,0.6032,0.8008967
5000,16,llama3.1-405b,0.692,0.86313397
5000,16,llama3.3-70b,0.7236,0.8907075
5000,16,mistral-large,0.7144,0.8873839
5000,16,qwen2.5-72b,0.6434,0.81204885
5000,17,Llama-3.1-8B,0.5874,0.8045647
5000,17,Llama-3.2-1B,0.3148,0.57417727
5000,17,Llama-3.2-3B,0.5198,0.75673616
5000,17,Qwen2.5-0.5B,0.1618,0.39745462
5000,17,Qwen2.5-1.5B,0.334,0.5834433
5000,17,Qwen2.5-3B,0.5014,0.73612
5000,17,Qwen2.5-7B,0.6174,0.8204797
5000,17,deepseek-v3,0.767,0.9165203
5000,17,gemma-2-2b,0.5126,0.74337685
5000,17,gemma-2-9b,0.6032,0.80175525
5000,17,llama3.1-405b,0.687,0.86202246
5000,17,llama3.3-70b,0.7184,0.8901535
5000,17,mistral-large,0.7148,0.88764787
5000,17,qwen2.5-72b,0.6468,0.8144829
5000,18,Llama-3.1-8B,0.5844,0.8007519
5000,18,Llama-3.2-1B,0.3176,0.5720921
5000,18,Llama-3.2-3B,0.5154,0.75277644
5000,18,Qwen2.5-0.5B,0.1642,0.3954707
5000,18,Qwen2.5-1.5B,0.3254,0.575057
5000,18,Qwen2.5-3B,0.499,0.7340285
5000,18,Qwen2.5-7B,0.6148,0.81655043
5000,18,deepseek-v3,0.7722,0.9155032
5000,18,gemma-2-2b,0.5102,0.7405651
5000,18,gemma-2-9b,0.602,0.80100954
5000,18,llama3.1-405b,0.6924,0.86423606
5000,18,llama3.3-70b,0.7254,0.8891262
5000,18,mistral-large,0.7182,0.88790965
5000,18,qwen2.5-72b,0.6424,0.81146073
5000,19,Llama-3.1-8B,0.578,0.7977324
5000,19,Llama-3.2-1B,0.317,0.5749437
5000,19,Llama-3.2-3B,0.5128,0.75198644
5000,19,Qwen2.5-0.5B,0.1628,0.3986027
5000,19,Qwen2.5-1.5B,0.3336,0.585738
5000,19,Qwen2.5-3B,0.5038,0.7363843
5000,19,Qwen2.5-7B,0.6118,0.8168614
5000,19,deepseek-v3,0.766,0.9137374
5000,19,gemma-2-2b,0.5098,0.7438208
5000,19,gemma-2-9b,0.6098,0.80518436
5000,19,llama3.1-405b,0.6932,0.86448497
5000,19,llama3.3-70b,0.7176,0.88885564
5000,19,mistral-large,0.7178,0.88880616
5000,19,qwen2.5-72b,0.6416,0.8118408
5000,20,Llama-3.1-8B,0.5906,0.80375606
5000,20,Llama-3.2-1B,0.3094,0.56873477
5000,20,Llama-3.2-3B,0.5162,0.7537382
5000,20,Qwen2.5-0.5B,0.156,0.39057055
5000,20,Qwen2.5-1.5B,0.3272,0.57934946
5000,20,Qwen2.5-3B,0.4974,0.7326281
5000,20,Qwen2.5-7B,0.6136,0.8185156
5000,20,deepseek-v3,0.7712,0.9176131
5000,20,gemma-2-2b,0.5126,0.747212
5000,20,gemma-2-9b,0.6068,0.8047972
5000,20,llama3.1-405b,0.6938,0.8650583
5000,20,llama3.3-70b,0.7274,0.892198
5000,20,mistral-large,0.721,0.88870263
5000,20,qwen2.5-72b,0.6486,0.8165584
5000,21,Llama-3.1-8B,0.5854,0.79867
5000,21,Llama-3.2-1B,0.3212,0.5766737
5000,21,Llama-3.2-3B,0.5156,0.7519692
5000,21,Qwen2.5-0.5B,0.1618,0.3991784
5000,21,Qwen2.5-1.5B,0.3378,0.5837774
5000,21,Qwen2.5-3B,0.5064,0.7389585
5000,21,Qwen2.5-7B,0.6156,0.81569093
5000,21,deepseek-v3,0.7702,0.91594344
5000,21,gemma-2-2b,0.509,0.7415168
5000,21,gemma-2-9b,0.608,0.80288374
5000,21,llama3.1-405b,0.6924,0.8610762
5000,21,llama3.3-70b,0.7248,0.8907246
5000,21,mistral-large,0.717,0.8879699
5000,21,qwen2.5-72b,0.6424,0.811311
5000,22,Llama-3.1-8B,0.5852,0.80012274
5000,22,Llama-3.2-1B,0.3146,0.5722864
5000,22,Llama-3.2-3B,0.512,0.7502485
5000,22,Qwen2.5-0.5B,0.1596,0.3957681
5000,22,Qwen2.5-1.5B,0.332,0.57859457
5000,22,Qwen2.5-3B,0.5024,0.73394036
5000,22,Qwen2.5-7B,0.6122,0.8156967
5000,22,deepseek-v3,0.7714,0.9159893
5000,22,gemma-2-2b,0.5084,0.7396922
5000,22,gemma-2-9b,0.6124,0.8051757
5000,22,llama3.1-405b,0.6934,0.86454153
5000,22,llama3.3-70b,0.7274,0.891925
5000,22,mistral-large,0.7214,0.8890641
5000,22,qwen2.5-72b,0.6412,0.8116009
5000,23,Llama-3.1-8B,0.5884,0.8004798
5000,23,Llama-3.2-1B,0.3118,0.5700596
5000,23,Llama-3.2-3B,0.5154,0.75330824
5000,23,Qwen2.5-0.5B,0.1628,0.393699
5000,23,Qwen2.5-1.5B,0.334,0.5813245
5000,23,Qwen2.5-3B,0.495,0.7302393
5000,23,Qwen2.5-7B,0.6132,0.8165277
5000,23,deepseek-v3,0.7708,0.91534317
5000,23,gemma-2-2b,0.5106,0.7431396
5000,23,gemma-2-9b,0.6098,0.80342144
5000,23,llama3.1-405b,0.6944,0.86582726
5000,23,llama3.3-70b,0.7254,0.891642
5000,23,mistral-large,0.7216,0.8890636
5000,23,qwen2.5-72b,0.6472,0.8159345
5000,24,Llama-3.1-8B,0.584,0.79892755
5000,24,Llama-3.2-1B,0.3112,0.5695086
5000,24,Llama-3.2-3B,0.5084,0.7502575
5000,24,Qwen2.5-0.5B,0.1616,0.3974409
5000,24,Qwen2.5-1.5B,0.3362,0.5843813
5000,24,Qwen2.5-3B,0.5016,0.73602575
5000,24,Qwen2.5-7B,0.6122,0.8150363
5000,24,deepseek-v3,0.7672,0.91586035
5000,24,gemma-2-2b,0.501,0.7397592
5000,24,gemma-2-9b,0.606,0.8044875
5000,24,llama3.1-405b,0.6912,0.86238045
5000,24,llama3.3-70b,0.7182,0.888272
5000,24,mistral-large,0.7198,0.88997763
5000,24,qwen2.5-72b,0.6444,0.8155905
5000,25,Llama-3.1-8B,0.5758,0.79504836
5000,25,Llama-3.2-1B,0.3104,0.57031345
5000,25,Llama-3.2-3B,0.5106,0.7483599
5000,25,Qwen2.5-0.5B,0.1624,0.39642307
5000,25,Qwen2.5-1.5B,0.3276,0.5799387
5000,25,Qwen2.5-3B,0.499,0.73284113
5000,25,Qwen2.5-7B,0.6062,0.8119933
5000,25,deepseek-v3,0.7696,0.91596067
5000,25,gemma-2-2b,0.4998,0.7386488
5000,25,gemma-2-9b,0.5948,0.795205
5000,25,llama3.1-405b,0.6808,0.8581043
5000,25,llama3.3-70b,0.714,0.885681
5000,25,mistral-large,0.7112,0.8854976
5000,25,qwen2.5-72b,0.6378,0.8110842
5000,26,Llama-3.1-8B,0.5858,0.8019189
5000,26,Llama-3.2-1B,0.3172,0.57673913
5000,26,Llama-3.2-3B,0.5178,0.752421
5000,26,Qwen2.5-0.5B,0.1634,0.3969473
5000,26,Qwen2.5-1.5B,0.3314,0.5820686
5000,26,Qwen2.5-3B,0.5,0.734011
5000,26,Qwen2.5-7B,0.616,0.8173071
5000,26,deepseek-v3,0.7678,0.9160374
5000,26,gemma-2-2b,0.5104,0.7432198
5000,26,gemma-2-9b,0.6064,0.8032016
5000,26,llama3.1-405b,0.6938,0.8646448
5000,26,llama3.3-70b,0.7216,0.8895759
5000,26,mistral-large,0.7148,0.8878286
5000,26,qwen2.5-72b,0.6424,0.8122054
5000,27,Llama-3.1-8B,0.5844,0.8025131
5000,27,Llama-3.2-1B,0.3142,0.5731993
5000,27,Llama-3.2-3B,0.5188,0.7546224
5000,27,Qwen2.5-0.5B,0.1604,0.39682245
5000,27,Qwen2.5-1.5B,0.335,0.58162254
5000,27,Qwen2.5-3B,0.5014,0.7354337
5000,27,Qwen2.5-7B,0.617,0.81713015
5000,27,deepseek-v3,0.7708,0.9166925
5000,27,gemma-2-2b,0.5148,0.7464501
5000,27,gemma-2-9b,0.6118,0.8066156
5000,27,llama3.1-405b,0.6966,0.8665632
5000,27,llama3.3-70b,0.7254,0.89212614
5000,27,mistral-large,0.7232,0.8912162
5000,27,qwen2.5-72b,0.6492,0.81783587
5000,28,Llama-3.1-8B,0.5798,0.7982375
5000,28,Llama-3.2-1B,0.3128,0.57411516
5000,28,Llama-3.2-3B,0.516,0.7504242
5000,28,Qwen2.5-0.5B,0.159,0.3943461
5000,28,Qwen2.5-1.5B,0.3286,0.57501906
5000,28,Qwen2.5-3B,0.5006,0.7347477
5000,28,Qwen2.5-7B,0.6156,0.82070744
5000,28,deepseek-v3,0.7618,0.91398567
5000,28,gemma-2-2b,0.5042,0.74102056
5000,28,gemma-2-9b,0.6034,0.8011283
5000,28,llama3.1-405b,0.6918,0.86336887
5000,28,llama3.3-70b,0.7264,0.8903544
5000,28,mistral-large,0.7136,0.8874932
5000,28,qwen2.5-72b,0.6438,0.81501615
5000,29,Llama-3.1-8B,0.5918,0.80261016
5000,29,Llama-3.2-1B,0.314,0.56938493
5000,29,Llama-3.2-3B,0.5194,0.75531614
5000,29,Qwen2.5-0.5B,0.1618,0.39460874
5000,29,Qwen2.5-1.5B,0.3362,0.58317083
5000,29,Qwen2.5-3B,0.5026,0.7362223
5000,29,Qwen2.5-7B,0.6178,0.8185563
5000,29,deepseek-v3,0.772,0.91669554
5000,29,gemma-2-2b,0.513,0.74290144
5000,29,gemma-2-9b,0.6066,0.8025325
5000,29,llama3.1-405b,0.6936,0.8642618
5000,29,llama3.3-70b,0.7282,0.89245486
5000,29,mistral-large,0.7192,0.8886076
5000,29,qwen2.5-72b,0.6426,0.8119188
5000,30,Llama-3.1-8B,0.5916,0.8046099
5000,30,Llama-3.2-1B,0.3154,0.5737831
5000,30,Llama-3.2-3B,0.5202,0.7576043
5000,30,Qwen2.5-0.5B,0.159,0.39596877
5000,30,Qwen2.5-1.5B,0.3392,0.5886128
5000,30,Qwen2.5-3B,0.5082,0.74106497
5000,30,Qwen2.5-7B,0.6204,0.81915236
5000,30,deepseek-v3,0.7774,0.91943145
5000,30,gemma-2-2b,0.5172,0.74483037
5000,30,gemma-2-9b,0.6126,0.80726355
5000,30,llama3.1-405b,0.697,0.8662704
5000,30,llama3.3-70b,0.7318,0.8934577
5000,30,mistral-large,0.7242,0.89186025
5000,30,qwen2.5-72b,0.6512,0.8173527
5000,31,Llama-3.1-8B,0.5792,0.7999874
5000,31,Llama-3.2-1B,0.3224,0.5800555
5000,31,Llama-3.2-3B,0.5192,0.75552046
5000,31,Qwen2.5-0.5B,0.1614,0.3957894
5000,31,Qwen2.5-1.5B,0.3274,0.57936335
5000,31,Qwen2.5-3B,0.4922,0.73045474
5000,31,Qwen2.5-7B,0.6116,0.81690377
5000,31,deepseek-v3,0.7604,0.91355693
5000,31,gemma-2-2b,0.5016,0.74117285
5000,31,gemma-2-9b,0.5988,0.8008278
5000,31,llama3.1-405b,0.6906,0.86283076
5000,31,llama3.3-70b,0.7242,0.8925865
5000,31,mistral-large,0.7138,0.88699913
5000,31,qwen2.5-72b,0.6362,0.80862546
5000,32,Llama-3.1-8B,0.5862,0.8008187
5000,32,Llama-3.2-1B,0.3162,0.5721391
5000,32,Llama-3.2-3B,0.5162,0.75271684
5000,32,Qwen2.5-0.5B,0.1644,0.39938533
5000,32,Qwen2.5-1.5B,0.3348,0.58400327
5000,32,Qwen2.5-3B,0.5048,0.7362389
5000,32,Qwen2.5-7B,0.6156,0.81654286
5000,32,deepseek-v3,0.7734,0.91679853
5000,32,gemma-2-2b,0.5106,0.74339134
5000,32,gemma-2-9b,0.6092,0.80423445
5000,32,llama3.1-405b,0.698,0.8629631
5000,32,llama3.3-70b,0.7248,0.8899209
5000,32,mistral-large,0.7196,0.887329
5000,32,qwen2.5-72b,0.643,0.81190985
5000,33,Llama-3.1-8B,0.5888,0.801651
5000,33,Llama-3.2-1B,0.3126,0.57079446
5000,33,Llama-3.2-3B,0.5184,0.75120056
5000,33,Qwen2.5-0.5B,0.1602,0.39519125
5000,33,Qwen2.5-1.5B,0.3318,0.58039546
5000,33,Qwen2.5-3B,0.5038,0.7361476
5000,33,Qwen2.5-7B,0.6174,0.81890893
5000,33,deepseek-v3,0.7754,0.9160422
5000,33,gemma-2-2b,0.514,0.7456826
5000,33,gemma-2-9b,0.6092,0.8037565
5000,33,llama3.1-405b,0.7,0.8653575
5000,33,llama3.3-70b,0.7244,0.88887644
5000,33,mistral-large,0.7184,0.8875639
5000,33,qwen2.5-72b,0.6458,0.8145259
5000,34,Llama-3.1-8B,0.5838,0.80116576
5000,34,Llama-3.2-1B,0.3116,0.56853974
5000,34,Llama-3.2-3B,0.5158,0.75103253
5000,34,Qwen2.5-0.5B,0.1564,0.3919973
5000,34,Qwen2.5-1.5B,0.3332,0.58214587
5000,34,Qwen2.5-3B,0.4978,0.73252416
5000,34,Qwen2.5-7B,0.6152,0.8154323
5000,34,deepseek-v3,0.7718,0.9163245
5000,34,gemma-2-2b,0.5086,0.7419419
5000,34,gemma-2-9b,0.6108,0.80504924
5000,34,llama3.1-405b,0.6924,0.8638413
5000,34,llama3.3-70b,0.7256,0.88935703
5000,34,mistral-large,0.7152,0.8881169
5000,34,qwen2.5-72b,0.6382,0.8105604
5000,35,Llama-3.1-8B,0.5828,0.79976726
5000,35,Llama-3.2-1B,0.3132,0.57147515
5000,35,Llama-3.2-3B,0.5164,0.75109655
5000,35,Qwen2.5-0.5B,0.158,0.39402366
5000,35,Qwen2.5-1.5B,0.3376,0.5849253
5000,35,Qwen2.5-3B,0.5026,0.73388064
5000,35,Qwen2.5-7B,0.6102,0.81392556
5000,35,deepseek-v3,0.7658,0.91389793
5000,35,gemma-2-2b,0.5044,0.74100065
5000,35,gemma-2-9b,0.5986,0.8001489
5000,35,llama3.1-405b,0.6912,0.8635925
5000,35,llama3.3-70b,0.723,0.89071995
5000,35,mistral-large,0.715,0.8870948
5000,35,qwen2.5-72b,0.6438,0.81310445
5000,36,Llama-3.1-8B,0.5856,0.79888874
5000,36,Llama-3.2-1B,0.3094,0.5693281
5000,36,Llama-3.2-3B,0.5146,0.7527277
5000,36,Qwen2.5-0.5B,0.1596,0.39362335
5000,36,Qwen2.5-1.5B,0.3334,0.5810756
5000,36,Qwen2.5-3B,0.4988,0.73208004
5000,36,Qwen2.5-7B,0.615,0.81612873
5000,36,deepseek-v3,0.7698,0.9154351
5000,36,gemma-2-2b,0.5122,0.743333
5000,36,gemma-2-9b,0.6086,0.80299896
5000,36,llama3.1-405b,0.6944,0.8630437
5000,36,llama3.3-70b,0.7226,0.8884638
5000,36,mistral-large,0.7186,0.88737714
5000,36,qwen2.5-72b,0.6472,0.81492037
5000,37,Llama-3.1-8B,0.5868,0.7998284
5000,37,Llama-3.2-1B,0.3132,0.56863636
5000,37,Llama-3.2-3B,0.5216,0.75366604
5000,37,Qwen2.5-0.5B,0.1526,0.38950005
5000,37,Qwen2.5-1.5B,0.3366,0.57992417
5000,37,Qwen2.5-3B,0.4996,0.73338187
5000,37,Qwen2.5-7B,0.6166,0.8166785
5000,37,deepseek-v3,0.7736,0.91683936
5000,37,gemma-2-2b,0.5128,0.74347275
5000,37,gemma-2-9b,0.613,0.80580246
5000,37,llama3.1-405b,0.6986,0.86341894
5000,37,llama3.3-70b,0.7244,0.8883455
5000,37,mistral-large,0.72,0.88875633
5000,37,qwen2.5-72b,0.6482,0.81384003
5000,38,Llama-3.1-8B,0.592,0.80256623
5000,38,Llama-3.2-1B,0.3152,0.57278967
5000,38,Llama-3.2-3B,0.5222,0.7556245
5000,38,Qwen2.5-0.5B,0.1614,0.3960757
5000,38,Qwen2.5-1.5B,0.3364,0.5812295
5000,38,Qwen2.5-3B,0.5002,0.7336404
5000,38,Qwen2.5-7B,0.6208,0.8208973
5000,38,deepseek-v3,0.7748,0.91905457
5000,38,gemma-2-2b,0.5158,0.7457633
5000,38,gemma-2-9b,0.609,0.8037467
5000,38,llama3.1-405b,0.6968,0.8654857
5000,38,llama3.3-70b,0.7274,0.8908358
5000,38,mistral-large,0.7196,0.88988644
5000,38,qwen2.5-72b,0.6446,0.8150726
5000,39,Llama-3.1-8B,0.5824,0.79900366
5000,39,Llama-3.2-1B,0.3076,0.5669414
5000,39,Llama-3.2-3B,0.5128,0.75123745
5000,39,Qwen2.5-0.5B,0.1574,0.39396778
5000,39,Qwen2.5-1.5B,0.3362,0.5842273
5000,39,Qwen2.5-3B,0.5066,0.7353789
5000,39,Qwen2.5-7B,0.6188,0.81977206
5000,39,deepseek-v3,0.772,0.91664374
5000,39,gemma-2-2b,0.5148,0.74617976
5000,39,gemma-2-9b,0.6028,0.80233735
5000,39,llama3.1-405b,0.6956,0.8635794
5000,39,llama3.3-70b,0.7284,0.89215547
5000,39,mistral-large,0.723,0.8892632
5000,39,qwen2.5-72b,0.6452,0.8144314
5000,40,Llama-3.1-8B,0.5854,0.8020306
